Nº_boletim;data_hora_boletim;seq_veic;cod_categ;descricao_categoria;cod_especie;descricao_especie;cod_situacao;desc_situacao;tipo_socorro;desc_tipo_socorro
2019-009776818-001;02/03/2019 00:28;2;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2019-009782239-001;02/03/2019 01:14;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2019-009782239-001;02/03/2019 01:14;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2019-009788825-001;02/03/2019 03:28;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2019-009788825-001;02/03/2019 03:28;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2019-009788825-001;02/03/2019 03:28;3;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2019-009788825-001;02/03/2019 03:28;4;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2019-009803866-001;02/03/2019 07:41;1;4;ALUGUEL                       ;6;AUTOMOVEL                     ;2;PARADO         ;0;NÃO INFORMADO       
2019-009803866-001;02/03/2019 07:41;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2019-009805696-001;02/03/2019 07:37;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2019-009807717-001;02/03/2019 08:10;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;2;PARADO         ;0;NÃO INFORMADO       
2019-009807717-001;02/03/2019 08:10;2;4;ALUGUEL                       ;13;CAMINHAO                      ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2019-009815767-001;02/03/2019 10:03;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2019-009815767-001;02/03/2019 10:03;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2019-009815767-001;02/03/2019 10:03;3;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2019-009816417-001;02/03/2019 10:02;1;4;ALUGUEL                       ;8;ONIBUS                        ;2;PARADO         ;6;NÃO SE APLICA       
2019-009817020-001;02/03/2019 10:02;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2019-009817020-001;02/03/2019 10:02;2;3;PARTICULAR                    ;26;CAMINHONETE                   ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2019-009820694-001;02/03/2019 10:14;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;2;PARADO         ;6;NÃO SE APLICA       
2019-009820694-001;02/03/2019 10:14;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
